timestamp,open,high,low,close,volume,turnover
1751574300000,109850.4,109912.3,109850.4,109912.3,1.883918,207011.7018272
1751574240000,109804,109850.5,109804,109850.4,1.370863,150556.7637311
1751574180000,109850.6,109850.6,109804,109804,1.572982,172763.2335504
1751574120000,109842.9,109850.6,109833.8,109850.6,5.407566,594020.4254159
1751574060000,109783.6,109850.8,109783.6,109842.9,3.196754,351047.0893499
1751574000000,109845.2,109862.7,109783.6,109783.6,2.588677,284329.2719984
1751573940000,109816.9,109845.3,109816.9,109845.2,1.299657,142753.3773513
1751573880000,109836.3,109843.5,109816.9,109816.9,1.728887,189903.7132868
1751573820000,109773.5,109836.4,109773.4,109836.3,1.723857,189285.2011529
1751573760000,109813,109813.1,109754.7,109773.5,3.652508,401000.725889
1751573700000,109819.9,109830.8,109813,109813,1.917015,210542.0564446
1751573640000,109877.5,109877.5,109797,109819.9,2.29795,252408.7182714
1751573580000,109902.2,109902.3,109877.5,109877.5,0.882567,96990.2644601
1751573520000,109866.7,109902.3,109862.4,109902.2,7.305305,802649.8604956
1751573460000,109870.4,109870.4,109866.7,109866.7,4.303164,472775.1647307
1751573400000,109884.1,109889.2,109870.4,109870.4,0.917081,100771.609188
1751573340000,109850.1,109884.2,109850.1,109884.1,3.0307,332949.6671797
1751573280000,109859.9,109860,109837.3,109850.1,2.493036,273862.2791253
1751573220000,109851.9,109862.6,109851.9,109859.9,3.529519,387743.2876755
1751573160000,109832.4,109852,109832.4,109851.9,1.315189,144464.6783561
1751573100000,109858.3,109862.7,109832.3,109832.4,1.044595,114753.7265944
1751573040000,109861.8,109862.7,109838.9,109858.3,3.410116,374595.1755369
1751572980000,109832.4,109865.5,109832.3,109861.8,0.937903,103031.3425078
1751572920000,109806.5,109832.4,109806.4,109832.4,2.021453,221998.2073517
1751572860000,109806.5,109806.5,109806.4,109806.5,0.463745,50922.1919549
1751572800000,109788.1,109815.2,109788,109806.5,1.671898,183589.2007058
1751572740000,109753.9,109815.2,109753.9,109788.1,8.966179,984328.1265786
1751572680000,109800.5,109811.5,109753.9,109753.9,5.188607,569627.3944627
1751572620000,109776.4,109814.2,109766.3,109800.5,1.745105,191601.6884628
1751572560000,109777.9,109777.9,109755.3,109776.4,2.314526,254050.1409807
1751572500000,109736.5,109783.7,109732.8,109777.9,1.862161,204384.7407901
1751572440000,109740.1,109740.1,109723.4,109736.5,2.026898,222410.1758625
1751572380000,109745.5,109775.5,109719.8,109740.1,6.632,727883.8460867
1751572320000,109741.5,109745.5,109741.5,109745.5,0.970909,106550.642643
1751572260000,109681.7,109741.5,109673.6,109741.5,2.721188,298540.2662203
1751572200000,109738.9,109738.9,109681.7,109681.7,3.079526,337890.3034386
1751572140000,109750.5,109750.5,109726,109738.9,1.06332,116682.7902822
